tcp,speaker,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68655,silius,2670,messalina,1585,lepida,1488,emperor,1377,saufellus,1285,mela,941,menester,800,montanus,760,narcissus,754,sylana,574,valens,545,calistus,509,bawd,293,bacchanall,285,proculus,212,vibidia,196,pallas,179,virgilianus,138,servant,136,xxxx_1,114,stitch,83,hem,81,1_spirit,80,evodius,67,sulpitius,57,xxxx_2,45,calphurnia,45,xxxx_3,31,2_spirit,29,yyyy_2,10,all,8,yyyy_1,6,both,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68468,goldstone,3182,pursnet,2970,taylbee,2044,frippery,2025,fitsgrave,1847,bungler,1034,primero,897,xxxx_1,708,newcut,547,katherine,415,piamont,333,yyyy_1,321,boy,279,xxxx_2,250,yyyy_2,226,vintner,209,jack,206,xxxx_4,106,xxxx_3,104,courtesan_1,93,fitzgrave,86,i,74,marmaduke,65,cunst,52,bowser,48,courtesan,47,all,44,alexander,42,1_courtesan,42,Taylbee,41,fulk,40,unassigned,39,novice,39,tayler,38,courtesan_2,17,gallant_2,15,gallant_1,10,drawer,8,arthur,6,xxxx_5,3,courtesan_3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68191,pembroke,4421,bowyer,2033,philip,1901,katharina,1819,ferdinand,1421,lewis,1298,bourbon,1234,navarre,1132,rodorick,1061,clown,656,peter,641,bellamira,507,forester,219,fisherman,126,thomasin,74,flanders,66,core,52,nod,51,messenger,48,payn,39,UNASSIGNED,34,lieutenant,22,soldier,21,unassigned,13,servant,11,all,10,france,7,both,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A68114,selimus,4789,bajazet,4438,acomat,2110,mustaffa,1319,corcut,872,aga,787,bullithrumble,681,mahomet,274,queen,263,messenger,239,belierbey,236,sinam,211,cherseoli,201,solima,200,cali,200,tonombey,200,visir,192,abraham,173,unassigned,135,page,118,hali,105,zonara,101,ottrante,95,regan,87,amurath,41,occhiali,32,aladin,28,all,6,alinda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A65360,virginia,4166,appius,3567,icilius,2406,clodius,1779,minutius,1063,xxxx_1,867,corbulo,791,numitorius,597,orator,566,clown,492,virginius,450,advocate,230,opius,189,nurse,159,valerius,153,xxxx_2,128,1_soldier,76,1_servant,67,multiple,58,omnes,50,senator,49,1_petitioner,43,2_cozener,36,1_cozener,35,roman,28,lictor,27,2_servant,22,2_soldier,21,2_petitioner,16,xxxx_3,16,horatio,11,xxxx_5,7,incomplete,6,1_senator,4,servant,4,xxxx_4,4,sertorius,4,claudius,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A62894,mendacio,3621,tactus,2891,phantastes,2565,lingua,2546,anamnestes,2513,appetite,2016,com_sens,1328,auditus,1298,memory,1150,visus,1084,heurisis,793,gustus,640,olfactus,630,somnus,560,crapula,379,sen,275,com,247,lumen,157,UNASSIGNED,135,coelum,92,1_boy,71,boy,69,herald,61,odor,47,tobacco,46,unassigned,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A62477,pheander,3273,tityrus,1911,radagon,1671,ariadne,1181,eusanius,899,clown,898,sophos,868,palaemon,863,antic,763,alcade,650,sicilian,545,1_lord,530,1_sicilian_lord,455,1_thr_lord,264,serena,255,2_lord,179,cicil,173,chorus,152,1_moor,137,pithia,117,lillia-guida,112,tityros,82,unassigned,77,multiple,75,priest,69,2_sicilian_lord,54,2_thr_lord,49,xxxx_1,39,shepherdess,32,fisherman,30,trumpet_flourish,25,1_shepherd,22,march,21,soft_alarum,20,tucket,20,2_thr,17,alarum,14,omnes,13,sicilian_lord,10,3_lord,8,thracian_lords,7,parley,7,3_thr_lord,6,leonardo,4,pallation,4,all_lords,4,2_shepherd,3,both,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61942,brennoralt,2371,iphigene,1689,almerin,1505,francelia,956,grainevert,872,doran,562,melidor,538,miessa,343,king,319,villanor,280,minse,268,marinell,268,raguelin,226,palantine,208,soldier,182,stratheman,165,general,159,fresolin,114,morat,97,woman,82,song,67,2_soldier,49,lord,49,orilla,43,jailor,43,3_lord,33,2_lorder,21,1_guard,10,all,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59992_06,manuel,3769,mendoza,2204,pedro,2138,clara,1782,roderigo,1675,carlo,1559,piracquo,1485,king,861,isabella,444,caelio,404,antonio,363,xxxx_1,232,xxxx_2,204,maria,183,unassigned,172,page,88,lord,54,1_lord,37,julio,35,2_lord,25,servant,13,,11,gentleman,7,castellano,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59992_04,flaviano,2869,julia,2221,bertoldi,2072,leonato,1948,honorio,1842,volterino,1461,hortensio,1340,florelia,1005,fioretta,886,duke,855,donabella,543,pandulpho,391,claudio,387,abbess,180,petronio,149,friar,47,antonio,43,servant,41,nun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59990,gotharus,3422,king,2178,olaus,1849,haraldus,1657,albina,1387,queen,1233,turgesius,1013,hormenus,742,marpisa,724,sueno,641,aquinas,619,helga,481,cortes,248,xxxx_2,150,xxxx_1,104,xxxx_3,84,reginaldus,81,doctor,62,servant,58,yyyy_1,55,rebel,48,xxxx_4,40,soldier,21,omnes,14,all_rebels,12,yyyy_2,12,unassigned,11,officer,10,all_soldiers,8,physician,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A59979,cornari,2795,malipiero,2452,florelli,2000,giovanni,1986,roberto,1337,ursula,1170,georgio,1145,thomaso,1030,duke,1002,bellaura,733,claudiana,652,marino,285,marcello,264,bernardo,90,candiano,56,servant,25,senator,18,bravo,17,xxxx_2,15,1_gentleman,12,gentleman,11,xxxx_1,10,attendant,9,rosabella,6,unassigned,5,xxxx_3,4,both,2,omnes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A57764,frank,3326,sawyer,2195,clown,2122,carter,1771,susan,1515,winifrid,1336,dog,1302,clarington,851,young_banks,752,old_thorney,740,old_banks,515,kate,493,warbeck,404,somerton,346,xxxx_1,301,justice,254,ratcliffe,222,xxxx_2,146,fiddler,141,xxxx_3,80,omnes,67,constable,56,spirit,53,countryman,45,hamluc,34,sawgut,27,UNASSIGNED,20,xxxx_4,8,ambo,6,within,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A57763,clown,3141,merlin,1968,prince,1877,aurelius,1422,donobert,1206,edoll,1129,modestia,1024,joan,875,artesia,710,devil,667,edwin,539,cador,498,hermit,477,nichodemus,398,ostorius,385,toclio,347,vortiger,303,constantia,298,proximus,248,gloster,183,gentleman,157,oswold,135,octa,119,2_gentleman,92,lucina,92,1_gentleman,89,unassigned,38,spirit,32,bishop,24,plesgeth,17,messenger,14,omnes,13,captain,13,2_saxon_lord,11,multiple,9,edol,8,1_saxon_lord,4,armel,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A56872,alphonso,3680,mureto,2330,velasco,2088,queen,1844,salassa,1825,lodovico,1772,pynto,1305,bufo,1250,mopas,857,shaparoon,723,collumello,546,petruchi,521,almado,394,herald,173,groom,74,messenger,51,all,36,herophil,25,both,15,hangman,5,omnes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
